sermon|n. [C]（通常指神职人员在宗教场合的）关于道德或宗教主题的讲话，如布道、讲道
service|n. [C] 宗教仪式。是此义的一个基础用词和概括性用词
shrine|n. [C] ~ (to sb/sth) / ~ (of sb/sth) 宗教圣地
siren|n. [sing.] 古希腊神话中半人半鸟或半人半鱼的女海妖，以美妙歌声诱使航海者驶向礁石或进入危险水域，即塞壬
sister|n. [C] Sister可指一个宗教团体的女性成员，尤指修女
son|n. 1 [sing.] [正式] my son 可为司铎对男子或男孩的称呼，如孩子
spirit|n. [C] [旧时] 想象中（或虚拟）的一种具有魔法的生物，例如小精灵，仙子，小妖精
spiritual|adj. 与宗教有关的，即宗教的。不如religious常用
stall|n. [C, usually pl.] 教堂内唱诗班和牧师的座位
superior|n. [C] 用于宗教团体领袖的头衔
taoism|n. [U]（中国的）道教、道家
teaching|n. [C, usually pl., U] 宗教教义
temple|n. [C]（尤指佛教、犹太教、摩门教、印度教等非基督教的）庙宇、神殿等拜神的地方
theology|n. [C] 宗教信仰
underworld|n. [sing.] the underworld可指神话、传说（如古希腊神话）中的阴间、阴曹地府
victim|n. [C] 作为祭品而被杀死的人或动物，即牺牲
vocation|n. [C, U] 认为自己是被神选中的一个牧师或修女的一种信念，可称为圣召、神召
voluntary|n. [C] 在教堂礼拜仪式之前、期间或之后所演奏的一首乐曲（通常由风琴来演奏）
word|n. [sing.] the Word可指《圣经》及其教义或教导
worship|n. [U] 礼拜
