subsistence|n. [U] 没有足够的金钱或食物以维持生活，即勉强维持生活
support|vt. 提供一切必需品（尤指金钱）以使某人或某事物能够生活或存在，即养活，维持
survival|n. [U]（事物或人设法继续在困境中进行的）生存
survive|vt.＆vi.（事物或人设法继续在困境中）生存
teen|n. [C] 13岁到19岁的孩子，即青少年
teenager|n. [C] 也可用非正式的teen，此时尤用于美式英语。指13至19岁之间的一个人，可称为青少年
teens|n. [pl.] 十几岁（13至19岁之间）
twilight|n. [U] the ~ (of sth) 暮年
twin|n. [C] 双胞胎之一
uncle|n. [C] 母亲（或父亲）的兄弟；还可指姑妈（或姨妈）的丈夫。即叔父；伯父；舅父；姑父；姨父
under|prep. 在某个年龄以下
union|n. [C] [过时] 婚姻
upbringing|n. [sing, U]（对孩子的）抚养
upkeep|n. [U] ~ (of sb/sth)（对人或动物的）抚养
way|n. [C] 生活道路
wedding|n. [C] 婚礼，结婚庆典（随后常伴有婚宴或聚会）
wife|n. [C] 某个男人所娶的女人；一个已婚女子。即妻子
woman|n. [C] [有时贬] 一个妻子或性伙伴
world|n. 1 [sing.] 社会以及人们在社会中的生活或行为方式；世人
year|n. [C, usually pl.] 年龄，年纪。常与数字联用，表示具体的年龄（而age则无此限制）
young|adj. 1 不比别人老的，即相对年轻的
young|adj. 1 不老的，即年轻的
youngster|n. [C] [非正式] 年轻人，尤指少年；儿童
youth|n. 1 [U] 一个人的青年时期（尤指成年以前）
