plutonium|n. [U]（符号为Pu）钚（一种放射性化学元素）
point|n. [C] [英] 墙上（等地方）的电源插座
polarize|vt. [物理学] 使（光波等）偏振
polarize|vt. [物理学] 使（物体）极化
pole|n. [C] 物理学中可指（磁体的）磁极或（电池的）电极
pop|vt.＆vi. 爆裂，或使爆裂（带有砰的一声）
positive|adj.（电学术语）正电的，正极的
potential|n. [U, C] 物理学中可指电场或电路中两点之间的电压数之差，即电势、电位、电压
pressure|n. 1 [U]（一物挤压另一物时的）压力。是此义的常规用词
pull|n. [sing.] the pull (of sth)（使…向某个方向移动的一种强烈的）自然力，即力，磁力，引力等。是一个简单用词。单纯在词义上，与attraction没有本质区别
pulse|n. [C]（电流、光、声等的）脉冲
punch|n. [C] 推动力
radar|n. [U, C] 雷达
radiant|adj. [只用于名词前] [术语] 从一个中心点发射出射线的，即辐射的、放射的
radiation|n. 1 [U, C] 放射性物质所辐射出的威力强大且极其危险的射线；也可指辐射物（其中包含着放射性物质的微小粒子）
radioactive|adj. 放射性的；有辐射的
radioactivity|n. [U] 放射性
radium|n. [U] 镭元素，镭（具有放射性的一种白色金属，可用于治疗癌症）
reaction|n. [U, C] [物理学] 反作用力
reactor|n. [C] 核反应堆。相当于nuclear reactor
receiver|n. [C]（接收无线电信号并将其转化为声音或图像的）收音机或电视机；也可指（收音机或电视机的）信号接收器
reduce|vt.＆vi.（煮沸液体使其）蒸发
reflect|vt.（从一个表面上）反射（热量等）
reflection|n. [U]（热的）反射
reflective|adj.（事物的表面）反射热的
refraction|n. [U] [物理学] 光的折射
repulsive|adj. [物理学] 引起排斥的；斥力的
resilience|n. [U] 事物被弄弯、拉长或被压后的恢复原来形状的能力（如弹力）
resilient|adj.（物质）被施加外力（如被挤压、拉伸、弄弯）后能恢复原来的形状的
resistance|n. [U, C] [物理学]（符号为R）电阻
resistance|n. [U, sing.] ~ (to sth)（风或空气的）阻力
river|n. [C] river (of sth) 沿着某一方向流动的大量液体
rub|vt.&vi. ~ (sth) (together)（使）两个表面相互摩擦
run|vi. 固体熔化
scale|n. [pl.] [美也用scale] scales指用于称重的工具，如秤、天平
scan|vt. 1 用X光、超声波、电磁波等对某个物体进行扫描以获取图像
scorch|vt.&vi.（把…的表面）轻微烫坏或烤糊、烤焦
scramble|vt. [常用被动式] 改变电话或无线电信号，使其只有通过专门设备才能收听，如扰码、扰频
sear|vt. 突然而猛烈地加热某事物的表面，如灼、煎
series|n. [U, C] [术语] 电路的串联
set|vi. 变得坚硬，即凝固，凝结
shock|n. [C, U]（突然撞击或拉拽所产生的）冲击力（如由爆炸、地震等所引起的剧烈震动）
shock|n. [C] 电击，相当于electric shock
short|n. [U] [非正式]（电路的）短路，相当于short circuit
skin|n. [C, U]（在液体表面所形成的）薄皮，薄层（尤指在冷却状态下所形成）
slime|n. [U] 令人不悦的粘稠液体物质
smelt|vt. 熔炼（铁矿石）
socket|n. 1 [C]（socket和power point均为英式，美用outlet或receptacle）墙上的电源插座
soften|vt. 减轻力量。相当于cushion
solid|adj. 固体的（即非液体或气体的）
solidify|vt.&vi. ~ (into sth)（使）变成固体，即（使）凝固、（使）变硬
spark|n. [C] 电流引起的电火花
spectrum|n. 1 [C] 光谱
splash|n. 1 [C] 溅到某事物上的少量液体
spray|n. [U, C] 在空气中飞过的小液滴，如水花；浪花；飞沫
spring|n. [U] 弹性；弹力。常指“强烈回弹的一种能力”，强调回弹之强烈，是elasticity的一种
squeeze|n. [C] 挤出或榨出的少量液体
static|adj. [物理学]（力）静力的（即该力不产生运动）。与dynamic相反
static|n. [U] 大气条件引起的、对无线电信号或电视信号起干扰作用的噪声或其它效应
static|n. [U]（也可用static electricity）静电
steam|n. 1 [U]（水沸腾后所转化成的）水蒸气
strain|n. [C, U] 物理意义上的压力、拉力、张力、应力
strength|n. 1 [U] 物体或材料的强度（即受力或承重时保持自身完好而不被损坏的能力）
stress|n. [U, C] stress (on sth)（压在某物上面，使其损坏或变形的）物理压力，也可叫应力。常是发生在物体与物体之间的“压力”（而pressure还可指液体或气体所产生的压力）。也可指此种“压强”。此时，在从属关系上，stress是pressure的一种，而stress更强调压力所产生的效果——损坏或变形
stressed|adj. [只用于名词前] [术语] 承受很大物理压力的
stretch|vi.（织物）有弹性、有弹力
strike|vt.＆vi. 擦或划某物（如火柴）以生火；因摩擦粗糙表面而产生火焰
substance|n. [C] 物质
surge|vi.（电流）突然增大
switch|n. [C] 电路的开关（如按钮式开关）；上下扳动的（电力设备或机器的）闸
tackle|n. [U]（吊拉物体用的）索具，滑轮组
temp|abbr. [也可用temp. 尤美] temperature的缩写形式，即温度
temperature|n. [C, U] 某事物的温度；某地的温度或气温。是此义的常规用词，最为常用
terminal|n. [C] [术语]（电路或电器设备的）线路接头，即端子
thaw|vi. ~ (out)（冰雪等）解冻，融化，融解
thermal|adj. [只用于名词前] [术语] 热的、热量的
thermodynamics|n. [U] 热力学
thrust|n. [U] [术语]（发动机推动车辆、飞机、火箭等的）推力，驱动力
traffic|n. [U] 信息和信号通过电子通信系统所进行的流动
transmit|vt. [术语] 传导（电）
uranium|n. [U]（符号为U）铀（一种放射性化学元素）
vapour|n. [C, U] 空气中的大量小液滴，如蒸汽、雾气、水汽
visible|adj.（商品、资产等）有形的
volatile|adj. [术语]（物质）易变成气体的，即易挥发的
voltage|n. [U, C] 电压、伏特数
water|n. [U] 水
wave|n. 1 [C] 一些能量形式（如热、声、光等）的波或波状运动
wavelength|n. 1 [C] 波长
weigh|vt.＆vi. 有某个重量，即重…
weight|n. 1 [U, C]（能以千克、磅等单位来测量的）重量，分量
wet|n. [U] 液体，尤指水
wire|n. [C, U] 用于传输电流或信号的导线。是此义的常规用词
wiring|n. [U]（给建筑物或机器供电的）线路
work|n. [U] 物理学中可指用力量去产生运动，即功，做功
yield|vi. 由于压力而移动、弯曲或折断
zip|n. [U] [非正式] 能量
