above|prep.（声音在音量或清晰度上）超过（另一种声音）
subtle|adj.（声音）淡淡的、隐约的
supple|adj. 声音悦耳的
sweet|adj.（声音）悦耳的，好听的
tap|n. [C] 将电话安装窃听器以进行窃听的行为
tap|n. [C] 用手或手指进行的轻击所发出的声音
thick|adj. thick (with sth)（嗓音）深沉且不像平常一样清楚的，可以叫做嘶哑的（尤指由于疾病或情感异常所致）
thin|adj. [贬]（声音）尖细而无力的；有气无力的
through|prep. see, hear, etc. through sth 隔着某个物体（或物质）听到
thud|n. [C] 沉重的物体撞击到别的事物（如重物撞上软物）发出的声音
thump|n. [C] 撞到地上或其它物体上发出的声音
thunder|n. [U] 雷鸣般的响声，轰隆声
tight|adj. 嗓音听起来显得紧张、焦虑、烦躁、忐忑、生气等的
tinkle|n. [usually sing.]（也可用tinkling[sing, U]）轻轻的、频率较高的声音，如丁零声、当啷响
toll|n. [sing.] 缓慢而有规律的钟声
toot|n. [C]（哨子、汽车喇叭发出的）短且尖的声音，如嘟嘟声
tread|n. [sing.] 脚步声
twang|n. [C] 弦被拉紧然后被松开时所发出的声音，如拨弦声，尤指乐器的拨弦声
uproar|n. [U, sing.]（人们由于对某事非常愤怒而在一个公共场合发出的）喧闹、鼓噪
utter|vt. [正式]（人）用嗓子发出声音
vocal|adj. [只用于名词前] 嗓音的
voice|n. [C, U] 由人的口中所发出的（说话或唱歌的）声音
volume|n. [不可数名词]（电视、广播等的）音量
wail|vi. 狂风呼啸
wail|vi.（事物）发出长而高的声音，如呼啸
weak|adj. 难以听到的，即微弱的
whine|vi.（机器）发出长且高的令人不悦的声音
whisper|vi. [文学]（叶子、风、轮子等）发出轻柔、安静的声音，如沙沙作响，发飒飒声等
whistle|n. 1 [C]（金属或塑料的小型管状的）哨子（可以发出大而高的声音，用于吸引注意或作为信号）
zoom|n. [sing.] 一个车辆等疾驰的声音
