above|adv. 上文或前文
keyboard|vt.＆vi. 用键盘将信息输入计算机。也是将名词用作动词，不常用
language|n. 1 [C] 某国或某一地区的人们在口语和书面语中所采用的一套交流体系，即语言（是一种以地域为标准而划分出来的概念）
leaf|n. [C] 一页纸，尤指书的一页
legend|n. [C] [正式]（标志、徽记、硬币等物品上的）铭文
length|n. [U, C]（书籍、文件等的）篇幅。此时与space未见明显差别
letter|n. [C]“字母”的常规用词
lexicon|n. 1 [sing.] [语言学]（也可用the lexicon）（某语言或学科、某人或群体使用的）全部词汇和短语
lexicon|n. [C]（尤指希腊语、希伯来语等古代语言的）词典、字典
liberal|adj.（翻译）不完全准确的、不精确的、灵活的
library|n. [C] 由同一公司出版的外观相似的一系列图书、磁带等，即系列丛书，文库
line|n. 1 [C] 一行文字；一行空白；（歌词或诗的）行
linguistic|adj. 语言的；语言学的
literature|n. [U] 某一学科的文献、资料、著作
long|adj.（元音）长音的
long|adj.（图书、清单等的篇幅）长的
low|adj.（元音）咧嘴发出的，开口发出的
make|vt. 1 做笔记，做批注，写清单等
mark|n. [C] 文盲在文件上做出的画押（代替签名，因为其不会写自己的名字）
marked|adj. [语言学]（单词或词形）有标记成分的（如正式或非正式用语）
masculine|adj. 1 [语法]（表示雄性人类或动物的一些词）阳性的
material|n. [C, usually pl., U] 指某一活动所需的文字材料、文本资料（或其它视觉资料、听觉资料等）。其词义范围最广，涵盖了本组其它各词
maxim|n. [C] 广为人知的格言、箴言、座右铭（人们用其规范自己的行为）
modify|vt. [语法] 修饰
module|n. [C]（尤指英国大学的）课程单元
mood|n. 1 [C]（语法）表达语气的动词屈折变化
motto|n. [C] 一则简短的句子或短语，该句子或短语表达了某个人、某个群体或某个机构等的目标和信念，并被作为一条行为准则，可称为座右铭，格言或箴言等
native|adj. 母语的，第一语言的
note|n. 1 [C] 一则简短的、非正式的书信，即便条
note|n. [C] 在一本书上，对其中的部分内容（如一个字词或一段文字）所做的一则简短评论，即注释、批注
note|n. [C] 常用复数，指印在一部特殊的书籍封面、CD或唱片封面等上面的信息，该信息介绍了一次演出、一个演员的职业履历、或一段音乐等
note|n. [C] 证明。是一个简单用词
noun|n. [C]（缩写为n.）[语法] 名词
number|n. [U] 语法中的“数”（表示所叙述的人或事物是一个还是多于一个）
object|n. [C] 宾语（直接宾语和间接宾语）
objective|adj. [只用于名词前]（语法上）宾格的
open|adj.（元音）通过开口来发出的，即开口的
opening|n. [C, usually sing.] 开篇，与ending相反
oral|adj. 常作前置定语，指口头的（而非书面的）
oral|adj.（语音）由口腔发出的（而非通过鼻腔震动来发声）
