outlet|n. [C] ~ (for sth) 液体或气体的排放管或排放出口
painter|n. [C] 船头上用于把船和其他事物（如杆、其他船等）系在一起的绳子
panel|n. 1 [C]（门、墙等大表面上的正方形或矩形）嵌板（可以是木质的、玻璃或金属材质的）
particle|n. [C] 颗粒、微粒
party|n. [C] 一起做某事（如旅行或参观）的一群人
peg|n. 1 [C] 用以标记位置的短的木头、金属或塑料，如橛子，短桩
peg|n. [C]（墙壁或门上的）挂钩；挂钉
people|n. 1 [pl.] 复数意义上的人（包括人、男人、女人、孩子）
perforation|n. [C, usually pl., U] 表面上的一个小孔，常指一系列小孔中的一个，尤指纸的齿孔
person|n. 1 [C] 作为一个个体的人，个人
personal|adj. 1 只用于名词前，你自己的，即个人的（不属于其他任何一个人的，或与其他任何一个人无关的）
personally|adv. 1 用于表明你正在就某事表达你自己的观点，即就本人而言
pillar|n. [C] ~ of sth 柱状物
pipe|n. [C, U]（液体或气体可在其中流动的）管道，管子。常指大型的工程性管道
pit|n. 1 [C] 地上挖的大且深的坑、洞
plank|n. [C] 狭长扁平的矩形木头（用于制作地板等），即板条
plate|n. [C] 薄且扁的金属板条或板材，尤用于连接…或使…更坚固结实
pole|n. [C] 用作支撑之目的的长且直的细木头（或金属）杆或棍子（尤指一端置于地下的柱子）
porcelain|n. [U, C] 瓷器
pore|n. [C]（皮肤上的）毛孔；（植物的）气孔；岩石的小孔
post|n. [C] 常构成复合词，垂直立在地面上的木杆或金属杆，尤用于支撑某物，或作为一种标志
pottery|n. [U]（尤指手工制作的）陶器
powder|n. [U, C] 粉末
presence|n. [C, usually sing.] [文学] 感觉在附近的人
public|n. [sing.] 拥有相同兴趣（或参加同一类活动）的一群人
pull|n. [C] 尤用于构成复合词，指用于拉拽的手柄或绳子等
puncture|n. [C] [英] 尖锐物体在轮胎上刺破的小孔、小洞
pyramid|n. [C] 金字塔形（或角锥形）的一个物体或一堆东西
quarter|n. [C]（尤指能提供帮助、信息或做出反应的）个人或群体
rail|n. 1 [C]（围绕着…作为障碍物或支撑物的）一个木质或金属栏杆
rain|n. [sing.] rain of sth 如雨点般从天空中大量降落的东西
regular|n. [C] 经常参加某一活动（如参加电视节目）的人
ribbon|n. 1 [U, C]（用于捆绑或装饰的）带子；丝带
rift|n. [C]（地面、岩石或云层的）大裂口、裂缝
ring|n. [C] 圆形的且中间有一个大洞的物体，即环形物品，圈形物品
rod|n. 1 [C]（常用于构成复合词）长直的木杆、金属杆、玻璃棒
roll|n. 1 [C] roll (of sth) 被卷成一卷的纸、纺织物、胶卷等（可以直接卷起来，也可以卷在卷轴上）
rope|n. [C, U]（通过将细绳、铁丝等拧在一起所形成的粗而结实的）绳子或绳索
round|n. [C] 圆形物体，或一块圆形的事物。此时和circle也有交集，二者可以互换使用（如2 circles of pastry可换成2 rounds of pastry）
screw|vt. ~ sth up (into sth) / ~ sth (up) into sth 把某事物（尤指纸张）揉成一团
seam|n. 1 [C] 缝合两块布等的一条线，如线缝，接缝
semicircle|n. [C] 半圆形物，或由一群人（或事物）所构成的半圆形状
set|n. [C] [有时贬] 拥有相同利益（或兴趣）且经常在一起交往的一群人
sheet|n. [C]（通常为正方形或长方形的）一张薄片或薄板
sight|n. [sing.] [尤英，非正式] a sight 可表示看上去荒唐、不整洁、令人讨厌等的一个人
silver|n. [U] 由银所制成的盘子、装饰物等，即银器（也可用the silver）
slab|n. 1 [C]（石头、木头或其它坚硬材料的）厚板
slat|n. [C]（家具、柜门、活动百叶窗、栅栏等事物上的）一系列窄扁条中的一根（可以是木头、金属或塑料材质的，每根之间有空隙）
slot|n. [C]（机器或容器上的投放或插入东西的）窄缝，扁口
snag|n. [C] 粗糙尖锐的物体，或物体的粗糙尖锐部分
socket|n. [C] 某事物表面上的一个弧形中空空间（其他部分可安装在此或在其中随意运动），如窝
son|n. [C] [文学]（某地或某国等的）一名男子
sort|n. [C, usually sing.] [尤英，非正式] 某一种（或某一类）人
soul|n. 1 [C] [正变得过时] 某类人中的一员
sphere|n. [C] 球形物体
spirit|n. [C] 总是与形容词连用，指某种类型的人
stable|n. [sing.] 在同一地方工作或训练的一群人
staff|n. [C] [旧时或正式]（行走或攀登时所用的）拐杖（可用作武器或权力的象征）
stake|n. [C] 带尖的木桩或金属桩（一端埋在地下，用于支撑某事物，或作为某地的标记）
stamp|n. [C] 印章、戳，是一种小块儿工具
star|n. [C] 星状的物体、装饰物等（常有五个或六个尖，其形状像星星）
stem|n. 1 [C]（高脚酒杯的）脚
stick|n. 1 [C] 常构成复合词，指（木料或塑料制成的有特定用途的）棍，条，签等
stick|n. [C] [旧时，英，非正式] 人，或称为家伙等
store|n. [C] 复数形式stores可指某类货物，或有某种用途的物品
strap|n. [C]（皮革、布料或其它材质的）带子
string|n. 1 [U, C]（由若干条线，即threads绞在一起所形成的）细绳、线或带子（用于系扎…）；（用于系扎、拉拽或把…保持在某地的）一段细绳、线或带子
strip|n. [C]（纸张、金属、织物、食物等的）条、带
stuff|n. [U] [非正式，有时贬] 用于指名称不详（或无关紧要、或明显知道自己在谈论）的一种物质、材料、一组物品等，如东西、玩意儿
swirl|n. [C] 螺旋或旋涡状的物体
switch|n. [C] 细且易于弯曲的棍子
table|n. [mass.] 坐在一个桌子旁进行吃饭或玩牌等活动的一群人
tablet|n. [C]（与药片或药丸形状相似的）其他物质的丸片
tape|n. [C, U] 用于捆扎或作为标签的一条狭长材料
thickness|n. [C] ~ (of sth) 某事物的一层
thing|n. 1 [C]（不称呼其名字的；不需要或不想要的；或你所不知道的）物体；可以叫做东西。是一个基础用词，也是一个高度概括性的用词，含义最为广泛
thing|n. [C] [非正式] 与形容词连用，指（你对其有某种感受的）人（可以是与你谈话的对象，也可以是你谈论的内容），即人，家伙，东西
thread|n. [C] thread (of sth) 线状物
throng|n. [C] [文学] 聚集的人群、一群人
tie|n. [C]（捆扎或拴系用的）绳子、线等
tongue|n. [C] [文学] tongue (of sth) 舌状物
trumpet|n. [C] 喇叭形物，尤指绽开的水仙花
