pot|n. 1 [C] [尤英] 用玻璃、陶土、塑料制成的一个容器，用于储存食物或种植植物，可称为罐、瓶、壶等
pram|n. [C] 推着走的四轮婴儿车
press|n. [C] [爱尔兰或苏格兰] 一种大型橱柜，常有一些架子，可以装衣服、书籍等
puppet|n. [C] 木偶
purse|n. 1 [C] [尤英] 由皮革、塑料等制成的携带硬币（且常有纸币和信用卡等）的一个小袋子，尤为女士所用
pushchair|n. [C] 婴儿手推车（其座椅可折叠）
quilt|n. 1 [C] 两层之间有柔软物质的一种装饰性床罩，即加衬芯床罩
rack|n. [C]（常构成复合词）（金属或木质的）支架、架子（用于支托或悬挂）
radio|n. [C] 收音机
recorder|n. [C] 构成复合词，录音机；录像机
remote|n. [C] [非正式] 遥控器，相当于remote control
rest|n. [C] 常构成复合词，支撑物；托架等（用于起支撑作用的东西）
retort|n. [C]（实验室里用于给化学品加热的）曲颈瓶
rucksack|n. [C]（尤指登山者或远足者使用的）大型背包、旅行包（常有较轻的金属框架支撑）
rug|n. [C] [英]（盖肩膀或膝盖以保暖的）围毯、小毯子
runner|n. [C]（金属、塑料或木制的）条状滑行装置，如（抽屉的）滑轨
sack|n. 1 [C] 没有手柄的大袋子，由强韧的材料（如麻布、厚纸或塑料）制成，用于存储或搬运面粉、煤等
sack|n. [sing.] [非正式，尤美] the sack可指床
screw|n. [C] 螺丝钉
seat|n. [sing.]（椅子等的）可坐的部位
set|n. [C] 接收电视或广播信号的装置，如电视机，或收音机
settee|n. [C] [英]（可供两人以上坐的、有靠背及扶手的）长沙发、长靠椅
setting|n. [C]（镶嵌宝石的）底座、底板、托板
settle|n. [C] 座位较长，椅背较高的一种老式木质扶手椅（其座位下常有一个匣子用于储物）
shade|n. [C] 灯等的罩子（能够削弱光线强度）
shawl|n. [C]（包裹婴儿的）襁褓
sheet|n. [C] 一张用于书写或打印、印刷的纸（通常为标准尺寸）
sheet|n. [C] 床单或被单
shelf|n. [C] 固定在墙上的（或橱柜、书架等的）一块扁平板子（可由木头、金属、塑料等制成），也可称为架子
sink|n. [C] [尤美]（浴室内固定在墙上有水龙头的，用于洗脸洗手的）洗脸盆，此时相当于washbasin
size|n. [U]（使材料等坚挺的）粘性物质，即胶料；（贴壁纸用的）粘性物质
sling|n. [C]（像袋子一样的，用于把婴儿带在胸前或背后的）吊兜
sofa|n. [C]（可坐两人或多人的）长沙发
soundtrack|n. [C] 电影音乐磁带（或唱片）；电影对白磁带（或唱片）
spill|n. [C] （点火、点油灯用的）长梗火柴，或一片薄薄的拧起来的纸（即纸捻）
spotlight|n. 1 [C]（也可用非正式的spot）聚光灯
spray|n. [C] 喷雾装置或喷雾用的容器，即喷雾器
spread|n. [C] [美] 相当于bedspread，即（作为装饰用的）床罩（套在床上、床单上或毛毯上等）
stack|n. [pl.] the stacks可指（图书馆中贮藏使用频率较低的书的）书库
stand|n. [C] 起支托作用的一个物体或一件家具，即托架或托台。非常常用
sticky|n. [C]（也可用sticky note）（可以写信息的）小贴纸
stool|n. [C]（常构成复合词）（没有靠背的）凳子
stroller|n. [C] [美]（可以推着走的）婴儿车、童车。相当于buggy和pushchair
suitcase|n. [C] 也可用case，（旅行时用于携带衣物等的有平整侧面的）手提箱
suite|n. [C] 一套家具（由各单个家具匹配在一起所形成的）
table|n. [C] 由一些腿（如桌腿）支撑着顶部的一个平面所组成的一种家具，可以叫做桌子、台子、几等
tack|n. 1 [C]（尤指把地毯钉在地板上的）平头钉，大头钉
tank|n. 1 [C] 储存或盛放液体或气体的大容器，即罐、箱、槽等
tape|n. 1 [U] 用于记录声音、图像等信息的磁性材料，为一条狭长的带子
tape|n. [U] 一面有粘性物质的，用于粘合东西的一条狭长材料，可称为胶带
television|n. [C] [英式非正式为telly]（也可用television set）电视机
throw|n. [C]（沙发等的）罩子，套
tidy|n. [C] [英] 尤用于构成复合词，（为保持一个地方的整洁而设置的一个）用于盛放小型零碎物品的容器
tin|n. [C] [英] [英美还可用can] can (of sth)圆柱形的有盖金属容器（用于盛放或售卖涂料、胶水等）；还可指其中所盛装的东西
tissue|n. [U] 也可用tissue paper，指（用于包装易碎物品的）薄纸
top|n. [C] 儿童玩的陀螺玩具（用手或绳子将其旋转起来后只有一个尖端接触一个表面进行高速旋转）
top|n. [C]（笔、瓶子等物品一端的）盖子、帽子、塞子等（是一种能将其关闭起来的东西）
torch|n. 1 [C] [英] [英美也用flashlight] 手电筒
tower|n. [C] 通常构成复合词，指用于储存物品的一件高大家具（如高柜；高架子）
toy|n. 1 [C] 儿童玩的玩具
track|n. [C] 幕帘的滑轨，滑道
tray|n. [sing.]（常构成复合词）各种用途的浅塑料盒
trunk|n. 1 [C] [美；英用boot] 汽车后部的行李箱
tub|n. 1 [C] 用于洗衣服、栽培植物等的一种大号无盖容器，如盆
tub|n. [C]（塑料或纸质的）小型带盖容器（通常为圆形），用于盛装食物等，如饭盒、食品盒
tube|n. [sing.] [美，非正式] the tube可指电视，电视机
unit|n. [C] 配套家具中的一个组件（尤指整体厨房配件）
vase|n. [C]（玻璃等材质的）花瓶或其他装饰性容器
videotape|n. [U, C] 录像带（做不可数名词时，指录像用的带状的磁性材料；做可数名词时，指盒式录像带）
wallet|n. [C] 美也用billfold，指用皮革或塑料制成的，用于放纸币、信用卡的小型折叠式扁平容器，可称为钱包或皮夹子
wardrobe|n. [C] 衣柜、衣橱、（在英式英语里）放置衣物的壁橱
wedge|n. [C]（木质、橡胶、金属等材质的）楔子（用于使门开着、将两个东西分开、将木头或岩石劈开）
wheelchair|n. [C] 轮椅
wrap|n. [U] 用于包裹某事物的纸张、塑料等材料
