abdicate|vt.&vi.（国王或女王）退位
imperialism|n. [U] [常贬] 帝国主义；帝国统治
in|adv. 当选
incident|n. [C] 国内的重大政治、军事性事变；两国间的分歧，常涉及军事冲突
independence|n. 1 [U] independence (from sb/sth) 表示一国从其它国家的政治统治中获得的独立
independent|adj. independent (from/of sth) 指国家拥有自己的政府的，即独立的、自治的
independent|adj. 指从政者不代表（或不属于）某一政治党派的，即无党派的
indigenous|adj. ~ (to…) [正式] 土生土长的（而非来自其它地方的），即本地的、当地的
inhabitant|n. [C] 居住在某地的一个人
initiative|n. [C] [美，法律]（美国某些州的）公民立法提案程序（即普通人通过签署请愿信来提交新法案的程序）
inland|adj. [常用于名词前] 在一国的内陆的、在一国的内地的
insurrection|n. [C, U] 一大群人的起义、政治叛乱
interior|n. [sing.] the interior 可指一国的内部事务
internal|adj. [只用于名词前] 与一国的内部事务有关的，即国内的，内政的
international|adj.（常作前置定语）国际的
international|n. [C] [美] 外国人
interstate|adj. [只用于名词前]（尤指美国）州与州之间的，州际的
introduce|vt.（在议会中）正式提交一项新法案以供讨论
islam|n. [U]（统称）伊斯兰教国家
junta|n. [C]（武力夺取政权的）军政府
kaiser|n. [C]（旧时德国、奥地利或神圣罗马帝国的）皇帝
khan|n. [C] 一些穆斯林国家统治者的称号，即可汗、汗
king|n. [C]（在一个拥有王室的独立国家中）一个男性君主、国王
kingdom|n. [C] 由一个国王或女王所统治的国家，即王国
knight|n. [C]（英国）爵士（其名前冠以Sir）
knighthood|n. [C]（英国国王或女王授予的）爵士级别或头衔（其名前冠以Sir）
land|n. [C] 情感或想象层面上的一个国家或地区，有一种诗意的文学色彩
land|n. [U] the land 指与城市相对的农村，或农村生活，此义是由“土地”之义衍生出来的，暗含了一种与城市生活的鲜明对比，通常暗示了传统农村生活的劳累甚至贫穷。常用作宾语或表语（如果其作定语，则基本表示的是“土地”的意思。如 land reform表示“土地改革”而非“农村改革”）
landslide|n. [C] 一方选票占压倒多数的选举；一方占绝对优势的选举
leader|n. [C] 领导一群人的一个人，尤指一个国家、组织等的领导者、领袖。强调“引领”作用，通常人们因为尊敬其人格并信任其能力而主动服从其领导，含有一定的褒义
league|n. [C] 为某一目的而团结在一起的一些人或国家，即联盟，同盟。相当于alliance
left|n. 1 [sing.] the left或the Left在美国可指想要通过立法和财税体系来改善社会条件的人。但在大多数其他国家，则可指（拥护社会主义思想和信念的）左派政治团体
leninism|n. [U] 列宁主义
liberal|adj. Liberal（旧时）英国自由党的；（英国以外国家）自由党的
liberation|n. [C] 使一个国家或人从另一人的控制中获得自由，即解放
local|adj. 常作前置定语，与谈论的地方或你所居住的地方有关的，即当地的，本地的
local|adj. 常作前置定语，指（政府）地方的
local|n. [usually pl.] 当地人，本地人，当地居民
lord|n. 1 [C] [英国的] 贵族
lord|n. [C] 中世纪欧洲的领主（其拥有很多土地和房产）
lord|n. [sing.] the Lords 英国国会的上议院，相当于House of Lords
machinery|n. [U, sing.] ~ (of sth) / ~ (for doing sth) 体制、制度
majesty|n. [C] His/Her/Your Majesty 指对国王或女王的尊称，如陛下
majesty|n. [U] 王权
majority|n. 1 [C] [英] majority (over sb)（一个政党在一场选举中）获胜的票数；（在一场讨论等活动中）一方获胜时比对手多出的票数
manifesto|n. [C] 一群人（尤指一个政党）的书面宣言（该宣言阐释了其信仰，并宣称如果其赢得选举，将推行哪些政策）
maoism|n. [U] 毛泽东主义、毛泽东思想
march|vt.＆vi. 为了抗议或示威而游行。与demonstrate近义
marquess|n. [C] 英国的侯爵（级别处于earl和duke之间）
martyr|n. [C] 有政治信仰的烈士
marxism|n. [U] 马克思主义
mass|n. [pl.] the masses可指群众或平民百姓（社会中的普通人，非领导者，被认为受教育程度不高）
mast|n. [C] 旗杆
mayor|n. 1 [C]（英格兰、威尔士和北爱尔兰由议员选举产生的）镇长，市长，郡长
mean|adj. [旧时] 出身（或来自）于下层阶级的
member|n. [C] 在英国，Member可指下议院（Parliament）的议员
metropolitan|adj. [只用于名词前] [美式也可用非正式的metro] 大城市的、大都会的
metropolitan|adj. [只用于名词前] 只与一国的本土（而非与该国控制的世界上的其它地区）有关的，即本土的
migrant|n. [C]（尤指为找工作）（从一地到另一地的）移居者、移民
minister|n. [C] 一名外交使节，公使，比大使级别要低
minister|n. [C] 英国或很多其它国家的部长，大臣
ministry|n. [C] [英] 在一些国家中，ministry指在国家最高权力机关内部，负责管理国家各项具体事务的“部委”（表此义时，美国用“department”；英国有些部用“ministry”，有些则用“office”，而英国财政部则用“HM Treasury”，全称“Her Majesty’s Treasury”，即“女王陛下财政部”，通称“The Treasury”）
minority|n. [C] 一个社区或国家中（由于种族、宗教、语言等而）与众不同的一个少数群体
mission|n. [C] 负有外交使命的一群人；执行外交任务的地点
monarch|n. [C] 国家统治者，例如国王、女王、君主
monarchy|n. [C] 君主国、君主制国家
monarchy|n. [sing.] the monarchy可指君主制、君主政体
monarchy|n. [sing.] the monarchy可指君主（国王或女王）及其家庭成员
motherland|n. [C] [正式] 一个人所出生并对其具有强烈牵挂之情的一个国家，即祖国
mouthpiece|n. [C] ~ (of/for sb) 代表另一个人或群体发言的一个人，如代言人、发言人
multinational|adj. 存在于（或涉及）多国的
multinational|adj.（国家或地区）由多民族组成的
municipal|adj. [常用于名词前] 关于（或隶属于）一个城镇、城市或行政区的，即市政的
mutiny|n. [U, C]（尤指士兵或船员的）拒绝执行上级命令，如哗变、暴动
nation|n. [C] 文化和历史传承意义上的国家，强调其成员拥有共同的语言、文化和历史
nation|n. [sing.] 一国的全体国民，或某个民族（ethnic group）的所有人，相当于population。由nation的“国家”之义衍生而来，暗含一种人文性和社会性
national|adj.（常用于名词前）国家的、民族的、整个民族所共有的
national|adj.（常用于名词前）由政府所有、所控制或所支付的，即国有的、国立的、国营的
national|n. [C] [术语] 某一国的一位公民，尤指侨居于国外的公民，是一种术语。与表示“国民”的其他词相比，national强调一种个体概念
nationalism|n. 1 [U] 一国内部某一民族的人所怀有的独立愿望（因其历史和文化与该国的其他民族不同），如民族独立主义
nationalist|n. 1 [C] 民族独立主义者
nationalistic|adj. [常贬] 民族主义的；怀有民族自豪感的；怀有民族优越感的
nationality|n. [C] 国家，实际是以民族来代表国家之义，不常用
nationality|n. [C]（构成国家的一部分的）一个民族（该民族成员之间具有相同的语言、文化和历史）
nationality|n. [U, C] 国籍（是因归属于某国而具有的相应的法律权利）
nationwide|adj. 发生于或存在于全国各地的，即全国性的；全国范围内的；遍及全国的
native|adj. 1 只作前置定语，与出生（和儿时居住）的地方有关的，即出生地的，儿时居住地的
native|n. 1 [C] 出生于某国（或某一地区）的人
no|n. [pl.] the noes 可指一场正式辩论（如在议会的辩论）中投反对票的总人数，反义词为ayes
noble|adj. 属于高贵的家族的，即贵族的，高贵的，与aristocratic近义，如
nominate|vt. ~ sb (for/as sth) 为一个重要职位推荐某人，即提名
note|n. [C] 术语，指一国政府的代表交给另一方的一封正式书信，即外交文书、照会或通牒
occupant|n. [C]（房屋、建筑等的）使用者，居住者（可以是暂时居住者，也可以是长期居住者）
office|n. [C] Office用于英国某些政府部门的名称中，在词义上与ministry无明显差别，只是各自用于特定的用法中而已
officer|n. [C] 常构成复合词，指政府中拥有权力的官员或职员
official|adj. 1 公职的，公务的，即与一定的官方职位相关的，只作前置定语
official|n. [C] 常构成复合词，指政府官员、政府要员
offshore|adj. 常作前置定语，商业上可指（资金、公司等）设在海外（尤指税制较宽松的国家）的
opposition|n. [sing.] the Opposition可指反对党、在野党、反对派
orange|adj. Orange可指奥兰治党的，奥兰治社团的（该党派或团体为一种新教政治团体，认为北爱尔兰应继续作为英国的一部分）
order|n. 1 [C] 获得国王、女王、总统等授勋的一群人
order|n. [C] 常用复数，指社会阶级，为贬义或幽默用法
outcry|n. [C, U] ~ (at/over/against sth) 人们在公共场合表达愤怒或强烈抗议时的一种反应，即抗议的怒吼
outskirts|n. [pl.] 城镇（或城市）的郊区
overhaul|n. [C] 对体制或方法进行的彻底革新
overlord|n. [C]（尤指旧时的）领主、庄主、大王（指对很多人拥有控制权的一个人）
overseas|adj. 外国的，尤指海外的（即与本国之间有海洋相隔）
overthrow|vt. 通过武力来推翻一个领导人或政府
