quarter|n. 1 [C] [英] 夸特（重量单位，1/4磅；4盎司）
quarter|n. [C] [美尤用fourth] 四等份之一，即四分之一。是此义的基础用词，含义较为广泛
raise|vt. 使…自乘若干次
range|n. [C, usually sing.] range (of sth)（同类型的）一系列（事物）
rate|n. [C] 比率；率
ratio|n. [C] ~ (of A to B)（两组之间的）比率、比例
ration|n. [sing.] ~ (of sth) 通常或合理的数量
read|vt. 1 指测量仪器显示某一数据（如重量、压力等）
reading|n. [C]（测量仪器上的）读数
record|vt.（测量仪器）显示（某一量度或数量）
recount|n. [C] 重新清点（尤指对选票的重新清点）
recount|vt. 重新清点（尤指重新清点选票）
regiment|n. [C] [正式] 一大群人或事物
register|vt.＆vi. 测量仪器（或其他事物通过测量仪器）显示（读数），或记录（读数）
remainder|n. [C, usually sing.] [数学]（减法的）差数；（除法的）余数
room|n. [sing.] 在一个房间里的所有人
root|n. [C] 方根，根
rope|n. [C] 用一根弦或线串在一起的一些相似的事物
rot|n. [U] 为rotation的缩写，表示（数学函数上的）循环
round|adj. 只作前置定语，整数的（即尾数常是0或5的）
routine|n. [C]（演出中的）一套动作，一系列笑话等
ruler|n. [C] 直尺
run|vi. run as sth 处于或接近某个水平
sack|n. [C] [美] 一大袋东西
say|vt.＆vi. 无被动语态，（装置）提供某信息或某指示
scale|n. [C] 量具上的刻度
scale|n. [C]（地图、图表或模型的）比例、比例尺
scale|n. [sing, U] ~ (of sth) 规模、范围、程度、尺寸，尤指与其他事物相比较时的规模、范围、程度、尺寸，且尤指庞大的规模或很深程度
score|n. [C] 二十，或接近二十
second|n. [C]（符号）秒（角度单位）
section|n. [C] [美] 一平方英里（是一种土地单位）
sequence|n. [C]（有特定顺序并导致某种结果的）一系列、一连串（事件、行动、数字等）
series|n. [C, usually sing.] ~ of sth 一系列、一连串、连续、接连
set|n. 1 [C] 一组、一套或一副类似的事物
set|n. [C] 数学集合
sheet|n. 1 [C]（覆盖在某事物表面上的）一大片覆盖物
shock|n. [U]（尤指头发）浓密的一堆
shower|n. [C] 一起到来或一起落下的大量事物
size|n. 1 [U, C] 尺寸的大小。是一种空间的几何概念
sound|vt.＆vi. [术语]（用垂线或声纳等）测量海洋、湖泊、井等的深度
spoon|n. [C] 一勺的量，相当于spoonful
spoonful|n. [C] 一勺的量
square|adj. 用于数字后表示面积，即平方的
stack|n. [C]（通常指码放整齐的）一叠，一摞，一堆
stand|vt. 处于某一高度
stick|n. [C] 一管，一支（固体胶水棒等）
stone|n. [C] 英国的一种重量单位，相当于6.35千克或14磅，即英石
strand|n. [C]（线、绳、金属线、毛发等的）股，缕
stream|n. 1 [C] stream (of sth) 一股持续的液体流、气流、烟、光线等
strength|n. [U] 一个群体、团队或组织中的人数（表示人数多寡）。强调由该数量的人员所拥有的某种实力之或强或弱
string|n. [C] 被串接在一起的一组（或一系列）事物（如串接在弦上的一系列事物）
succession|n. [C, usually sing.]（时间或顺序上的）一连串的人或事物。相当于series
sum|n. [C, usually sing.] ~ (of sth) 数学中可指数量的加和、总和
sum|n. [C] 简单的数字计算
survey|n. [C]（对一个地区进行的）勘测、测绘（以绘制地图或制定计划）
syndicate|n. [C] 为达到某一目标而联合起来的一群人
table|n. [sing.] 数学中可指（尤指从1到12的）乘法表，等于multiplication table
tablet|n. [C] [过时，正式] tablet of soap 一块肥皂
