africa|n. 非洲
meet|vt.＆vi. 连接，（尤指两片地域或海域）相接
meridian|n. [C] 经线、子午线
moor|n. 1 [C, usually pl.] [尤英]（尤指长满杂草和石南的）一片不用于农耕的开阔高地
moor|n. [C] 摩尔人（公元8至15世纪在北非和西班牙建立文明，信奉伊斯兰教）
mound|n. [C] 大型土丘或石丘、小丘、小山岗
mount|n. [sing.] Mount（缩写为. Mt）（在现代英语里仅用于地名）山、山峰
mountain|n. [C] 高山；山岳。强调一种高耸的雄伟气势
mountainous|adj. 多山的
mouth|n. [C] 河流的入海口
ocean|n. 1 [sing.] [尤美] 常写作the ocean，指大海；海洋
oceania|n. [U] 大洋洲
offshore|adj. 1 常作前置定语，在海洋上离陆地很近的，即近海的
out|adv., prep.（海潮）在退潮期；或退潮
pacific|n. [sing.] the Pacific或the Pacific Ocean可指太平洋
parallel|n. [C]（也可用parallel of latitude）（地球或地图上的）纬线（是一种虚拟的线）
parcel|n. [C] 一块土地，一片土地。不过极不常用
park|n. [C] 构成复合词，用作某一用途的一片地方
part|n. 1 [C]（世界、国家或城镇等的）区域，地区。表地区之义时，是其他表示具体地区的词汇的上位词，其语义涵盖了各种各样的“地区”，本组其他词除“way”外，都隶属于part之下。但该词一般只与代词、表方向的词和表位置的词等连用，表示一个普通的纯地理意义上的“地区”，如this part（这个地区）、northern part（北部地区）；而当要表示一个具体的具有某种特征的地区时，一般要让位于district、belt等词，如果用business part，虽然在宽泛的意义上这样说也不算错，但是表达效果不如business district精确
patch|n. [C] [英，非正式] 某人的工作地；某人熟悉的地区；某人的家乡
patch|n. [C] 小块土地，尤指小块菜地或果园
peak|n. [C] 山的顶峰；也可指带有顶峰的山
period|n. [C] 地质学中可指“纪”（是地质学上的一段时间，上一级为era，即代）
pike|n. [C] [方言] 英格兰北部的山峰
pinnacle|n. [C]（尤指山顶的）突兀的尖岩
plain|n. [C] 也可用复数的plains，指一大片平坦的土地，即平原
plate|n. [C]（构成地球表面且缓慢移动的）板块
plateau|n. [C] 高原
plot|n. [C] 用于或旨在用于某个特殊目的（例如建房子或种植蔬菜）的一小块土地
plot|vt. plot sth (on sth) 在地图上画出或标出（例如标出飞机或船的位置或航向）
point|n. [C] 突入海中的尖状陆地，即海角，海岬。是一个简单用词
pole|n. [C] 行星（如地球）的两极中的任何一极
pond|n. [C] 池塘（比湖要小，且尤指人工池塘）
pond|n. [sing.] the pond在新闻通讯中可指大西洋，不太常用
pool|n. [C] 水池，水塘，水坑等一小片静止的水域（尤指自然形成的水塘）
pottery|n. [U] 陶土
prairie|n. [C, U]（北美的）大草原
precinct|n. [usually pl.]（某地或某个建筑物）周围的区域（有时周围有围墙）
precipice|n. [C] 非常陡峭且高耸的悬崖、山或岩石
pressure|n. [U] 地球表面的大气压
prevailing|adj. [只用于名词前]（洋流）在一个地区经常流动的，即盛行的
quagmire|n. [C] 泥淖、泥沼、湿地
quake|n. [C] [非正式] 地震
quarter|n. [C, usually sing.] 城镇的区（district）（或一部分），尤指某一人群生活或工作的地区
range|n. [C] 一条（或一组）山脉（可以是mountains或hills）。强调一种整体感
rapids|n. [pl.] 河的急流，通常指岩石上的急流
reach|n. [C, usually pl.] 一条江河中两个弯道之间的直水道
region|n. 1 [C]（通常指界限不明的）一大片地区
regional|adj. [常用于名词前] 地区的、区域的、地方的
reservoir|n. [C]（天然或人工的）水库、蓄水池
ridge|n. [C] ~ (of high pressure) [术语]（大气层的）高压脊，高压带
ridge|n. [C] 山脊；山脉
riding|n. [C] Riding可指区（英格兰约克郡以前的东、西、北三个行政分区之一）
ripple|n. [C] 液体（尤指湖水）表面的小波浪，即波纹、涟漪
rise|n. [C] 向上倾斜的一片土地，即（向上的）斜坡；小丘；小山，相当于slope。与hill有交集，但在此交集部分不如hill常用，rise可看作是一种形象化用法
rise|vi.（土地）向上倾斜，即隆起，凸起
rise|vi.（河流）在某地发源，起源
river|n. [C] 陆地上的长距离流动的大量淡水，常流入大海，即河，江。是此义的常规用词和概括性用词
rock|n. 1 [U, C]（形成地球表面或其它行星表面的）岩石
rock|n. [C] 站立在地面的一大块岩石聚合体，即石山
rock|n. [C] 站立海中的一大块岩石聚合体，即礁石
romance|adj. 罗曼语系的（由拉丁语演变而成的语言，如法语、西班牙语、意大利语等）
rough|adj. 地面高低不平的
rough|adj.（海洋）有汹涌的大波浪的。强调一种颠簸感
sand|n. [U, C, usually pl.] 海边的一大片沙子，即沙滩
sand|n. [U] 沙，沙子
scar|n. [C] 小山或悬崖上的一块岩石裸露、没有草木的地方，即裸岩
scour|vt. ~ sth (away/out) / ~ sth (from/out of sth)（尤指长时期的运动）在土地、岩石等事物上冲刷出一条通道、一个孔洞或标记等
sea|n. 1 [U] [尤英] 常写作the sea（文学上也可写作复数seas）海洋，即地球上除陆地以外的部分，此时与ocean在词义上相同（不过ocean此时尤为美式用法）；sea还可指海，此时比洋小，一般位于洋的边缘；亦可指陆地上的“内海”（为陆地所包围）
seaside|n. [sing.] [尤英] 常用the seaside，（尤指人们游玩、度假的）海边，海滨
section|n. [C] [美] 一个城镇或郡县的区（district）。常见于行政辖区
sector|n. [C]（尤指处于军事管制之下的）区域、地带
sediment|n. [U] [地理] 由水、风所带来的，滞留在河流、湖泊、海洋等底部的沙子、石头、泥等，即地理沉积物
shelf|n. [C] 地质学中可指板子一样的东西，尤指悬崖上（或海底）突出的一块岩石，如陆架
shore|n. [C, U]（海洋、湖泊等大型水域的）沿岸，滨。现代意义上，准确地讲，shore一词指沿大陆的低潮线（low-water mark，即海水在海岸上退落的最低界线），而coast一词则包括滨线（line of shore）和内水与外海相接的水线。shore的本质是毗连大型水域的一种陆地，且其内涵常包括两点—— ①涨潮线与落潮线之间的地带；②可通航线与高水位线之间的地带
sierra|n. [C]（尤用于地名）（尤指西班牙和美洲的）锯齿状山脉
silt|n. [U] 沉积在河口或港口的沙、泥等
slide|n. [C] 大量岩石或泥土从山上的突然落下，相当于landslide
slope|n. [C, usually pl.] 山坡
slope|n. [C] 土地的斜坡
soil|n. [U, C]（在地球表层，植物所赖于生长的）土壤，是此义的常规用词，最为常用
sound|n. [C] 常用于地名，指连接两大片水域的一片狭长水域，即海峡，相当于strait。不常用
source|n. [C]（河流或溪流的）源头、发源地
space|n. [C, U]（无建筑物的）大片空地，即开阔地
spit|n. [C] 伸向海洋或湖泊的一块狭长陆地，即岬，沙嘴。是一个形象化用词
spray|n. [U, C] 水上的浪花，飞沫
spread|n. [C, usually sing.] [美] spread (of sth) 一片水域
spread|n. [C, usually sing.] [美] spread (of sth) 一片陆地。强调该片土地在空间上的连续性和广阔感
spring|n. [C] 泉（即水从地下自然地流出地表的一个地方）；也可指泉水
spur|n. [C] 从山峦或山丘上凸出来的一块高地，即山嘴、尖坡，也可指山的支脉
stone|n. [C] [尤英] 任何形状的一小块岩石，即石块，石子
strait|n. [C] 联结两片海洋或其它大型水域的一条狭窄水道，即海峡。是此义的常规用词。尤用于地名
strand|n. [C] [文学用法，或爱尔兰英语]（江河湖海的）岸，滨
stream|n. [C] 一条小的、狭窄的河流，汉语中常称为“溪”、“小溪”
stretch|n. [C] ~ (of sth) 一片土地，尤指一长片土地
stretch|n. [C] ~ (of sth) 一片水域，尤指一长片水域
strip|n. [C]（海域等的）带状水域
strip|n. [C]（陆地的）狭长地带
subside|vi.（水位，尤指洪水的水位）回落
summit|n. [C] 某事物（尤指山顶）的最高点、顶点
surf|n. [U] 海中的大浪；也可指大浪拍岸（或拍岩石）产生的白沫、浪花
surface|n. [C, usually sing.] 其本义可指各种“表面”，因此已将“地面”之义涵盖在内。不过一般需要与表示陆地的词连用，才能共同表示“地面”
surface|n. [C, usually sing.] 水面；液面。常与表示具体水体的词（如water、ocean、sea等）连用，以共同表示“水面”，也可单独表示“水面”（不过单独表“水面”时不如water常用）
sweep|n. [C, usually sing.] 地貌上可指一长段（常是曲线）的河流
sweep|n. [C, usually sing.] 地貌上可指一长段（常是曲线）的海岸
sweep|vi.（地貌）形成一个长且平滑的曲线
sweeping|adj. [只用于名词前]（地貌）形成一个弧线的
swell|n. [C, usually sing.] 海浪的涌动（但波浪并未爆发）。暗示由水体内部的能量推动而产生的水体涌动（强调一股波浪以强大的气势整体上向前推进），给人一种酝酿而不爆发的感觉。因此容易让人内心之中产生一种恐惧感。是一个比喻用法
swollen|adj.（河流）涨水的、上涨的
tank|n. [C] 在印度英语中可指一个人工挖掘或开凿的水池、湖泊或水库、蓄水池
terrain|n. [C, U] 一片土地的地理特征，如地带
terrain|n. [C, U] 一片土地的地理特征，如地形、地势、地带
territory|n. 1 [C, U] 某人在工作或其它活动中所负责的一个地区（如一个城镇、国家等）
tide|n. [C, U] 潮；潮汐；潮水
torrent|n. [C] 移动非常快的大量水，如急流、湍流、洪流
tremor|n. [C] 轻微的地震
trench|n. [C]（也可用ocean trench）海底的长长的深海沟、大洋沟
tributary|n. [C]（流入大河或湖泊的）支流
trough|n. [C]（小山间的）槽谷
trough|n. [C]（海浪间的）波谷
turf|n. 1 [U]（包括矮草和一层地皮的）草皮
turf|n. [U] [非正式，尤美] sb’s ~（自己的）地盘
turn|vi.（河流）转向，转弯
turn|vi.（海潮）开始涨或开始落
twist|vi.（江河等）弯曲且经常改变方向，如曲折、蜿蜒、盘旋
upper|adj.（地方）位于远离海岸线的内陆的；在高地上的；朝向一个地区的北部的。反义词为lower
valley|n. [C]（山丘或山岳之间的）山谷（常有河流流过）；也可指河流流过的一片土地，即流域
vicinity|n. [sing.] 某地的周围地区、临近地区
volcano|n. [C] 火山
wander|vi.（河流）蜿蜒，迂回曲折
ward|n. [C] 英国城市中划分出来的一个区，该区由从其中选举出来的一位当地议员来代表
waste|n. [pl.] [正式] wastes 可指人、动物或植物非常稀少的一大片土地，可称为荒芜地带
water|n. 1 [U] 一片水域，尤指湖泊、江河、海洋
water|n. [U] 水面
water|vt. [术语] 常用被动式，指河流等给某地供水，也可叫流经
waterfall|n. [C] 瀑布
watershed|n. [C] 分水岭
wave|n. [C] 水域表面的波浪、波涛等（如海浪）。是此义的常规用词
wave|n. [pl.] [文学] the waves 可指大海
way|n. [sing.] [非正式] 一国的一个地区、部分等。词义范围与part一样大，与part几乎并列，但也与part一样笼统，一般不用于表示某个地区的特征。使用频率也远比part低
wild|adj.（海洋）受到暴风雨或狂风影响的。强调海浪的狂野
wild|n. [pl.] the wilds可指一国之中远离城镇的偏远地区（该地人烟稀少）
wilderness|n. 1 [usually sing.] 因贫瘠而未得到开发（或未种庄稼）的一大片土地，如荒野
wind|vt.＆vi. 河流等有很多蜿蜒曲折，即蜿蜒、曲折
world|n. [sing.] the world可指世界，天下（包括地球、所有国家、人以及自然特征）
yard|n. [C] 通常构成复合词，指用于某个特殊目的或事情的一片场地
zone|n. 1 [C] 有某个特色或用途的一片地区或地带
