abduct|vt.（尤指用武力）非法劫持、绑架某人，也可指诱拐
flog|vt. [常用被动式]（用鞭子或棍子）多次击打某人（以作为惩罚）
force|n. 1 [U] 武力，肢体力量
force|n. [U] 权威所赋予的效力
forgery|n. [U] 伪造钱币、文件等的罪行
front|n. [C, usually sing.] front (for sth) 非法（或秘密）组织（或活动）的庇护者，可以是一个人，也可以是一个组织
fugitive|n. [C] ~ (from sb/sth) 逃跑者、逃亡者
funny|adj. [非正式] 可疑的；可能非法的；可能不诚实的
gangster|n. [C] 一个有组织的犯罪群体中的一员，如黑帮成员
gas|n. [U] 警察用来控制人群的瓦斯
gentleman|n. [sing.] [美] 对立法机构（如众议院）男性议员的称呼，即先生，阁下
get|vt. 抓住某人（尤指为了惩罚他们）。是一个简单用词
get|vt. 无被动式，指受到或遭到（惩罚）（其本身并不表示“惩罚”，而是表示“受到惩罚”中的“受到”，或称“遭到”，其后面此时需要接表示具体“惩罚”的名词）
give|vt. give sth to sb / give sb sth 使某人受到某一惩罚（其本身并不表示“惩罚”，而是表示“施与惩罚”中的“施与”，或称“给予”，其后面此时需要接表示“惩罚”的名词）
give|vt. 赋予（权利）
good|adj. good for sth（对某事物来说）有效的（valid）。表此义时不太常用
grievance|n. [U, C] 让人申诉的不平之事
ground|vt. 常用被动式，惩罚儿童，不让其出门与朋友玩
guarantee|vt.＆vi. 承诺为某事（或为做某事）负法律责任，即担保
guardian|n. [C] 某人的合法监护人，尤指双亲已故孩子的监护人
guardianship|n. [U] [法律] 对某人或某事物的监护，或监护人的身份
guilt|n. [U] 犯罪、有罪、罪行
guilty|adj. 1 guilty (of sth) 犯了罪的；为某件坏事负责任的，即有过失或罪责的
gun|n. [C] 非正式用法，尤用于北美，指受雇杀人的枪手
handcuffs|n. [pl.] 手铐
hang|vt.＆vi.（hanged, hanged）绞死，或被绞死；或施以绞刑，被施以绞刑
haul|n. [C]（警方或海关查获的）大批被盗物品；大量非法物品
haul|vt. [常用被动式] ~ sb (up) before sb/sth 使某人出庭受审
hear|vt.（在法庭上对案件进行）听审或审理
hearing|n. [C]（为犯罪所举行的）听审，审讯，审理；（为投诉、事件或问题所举行的）听证会。其目的在于为争议各方（尤其是可能被剥夺权益的一方）创造陈述意见的机会。举办者可以是司法机关，也可以是立法机关或行政机关
help|vt. [非正式，贬] help yourself to sth 未经允许而拿走某东西，即偷盗，窃取，相当于steal
hiding|n. [C, usually sing.] [非正式，尤英]（尤指多次痛打的）体罚
hold|vi.（法律、法规等）有效
hold|vt. 监禁，拘留，扣押。是一个静态过程，而非“逮捕”那种动态过程
hold-up|n. [C] [美式英语尤用stick-up] 持枪抢劫
honourable|adj.（缩写为Hon）对某些法官的尊称，用于其头衔之中
hood|n. [C] [俚语，尤美]（尤指属于某团伙的）暴徒，恶棍。相当于hoodlum
hooligan|n. [C] 在公共场合叫嚷且暴力的一个年轻人，通常拉帮结伙，即小流氓、阿飞
hostage|n. [C] 人质
hunt|vt.＆vi. hunt (for) sb 寻找某人（将其抓住或将其伤害），即追捕（罪犯或敌人等）。是一种形象化用法
identification|n. [U] 证明身份的正式文件
identity|n. [C, U] 人或事物的身份、本身、本体。是此义的常规和专业用词，最为常用
illegal|adj. 不为法律所允许的，即不合法的，违法的，非法的
illegitimate|adj. 不符合规定的；非法的
impartial|adj. 不支持任何一个人或群体的，即公正的、中立的、不偏不倚的
impartiality|n. [U] 不公正
impeach|vt. ~ sb (for sth)（尤指在美国，法院或其它官方团体）控告一个重要的公众人物犯有某项严重罪行，常称为弹劾
impinge|vi. [正式] ~ (on/upon sth/sb) 对…有明显作用（或影响），尤指有坏的作用（或影响），如侵犯
imprison|vt. [常用被动式] 监禁；关押（在监狱中或其它地方）
imprisonment|n. [U] 监禁、关押（在监狱中或其它地方）
incarcerate|vt. [常用被动式] [正式] ~ sb (in sth) 将某人关押或监禁在一个地方（如监狱里）
incident|n. [C, U] 一次严重或暴力事件，如犯罪、事故或袭击。其词义已经包含了accident，可以说accident是一种incident
indict|vt. [常用被动式] [尤美，法律] ~ sb (for sth) / ~ sb (on charges/on a charge of sth) 正式控告或起诉（某人有罪）
indictment|n. 1 [C] [尤美] 刑事起诉书
indictment|n. [U, C] [尤美] 控告
infraction|n. [C, U] [正式] 对规则的违反、对法律的违犯
infringement|n. 1 [U, C] 对他人权利的侵犯
initiation|n. [U] [正式] 诉讼的发起
injustice|n. [U, C] 不公正、不公平
inmate|n. [C]（监狱的）一个居住者
innocence|n. [U] 无罪、无辜、清白
innocent|adj. 1 innocent (of sth) 没有犯罪或犯错的，是此义的常规用词
inside|adv. [非正式] 在监狱里
inspector|n. 1 [C]（缩写为Insp）（英国警察中职位低于警司高于巡佐的）巡官、督察
instruct|vt. [法律] 雇某人（尤指律师）代表你处理法律事宜，即委托
instrument|n. [C] 正式法律文件
intern|vt. [常用被动式] ~ sb (in sth)（战争期间或由于政治原因）未经审讯而拘留，禁闭，关押
intrude|vi. ~ (on/into/upon sth) 侵犯别人的私生活
intrusion|n. [U, C] ~ (into/on/upon sth) 对一种情况（或人们的生活）造成侵扰的事物
invade|vt. 以一种烦人的方式侵犯别人的私生活
invasion|n. [C, U] 对某人或某事的侵扰、侵犯
iron|n. [pl.]（尤指旧时）囚犯所戴的铁制镣铐
irregular|adj.（行为）欺骗性的；不正常的；不正当的；不合乎常规的
irregularity|n. [C, U] 不合乎常规的行为；不正当的做法；不正常的做法
item|几乎是法律文件中编号层级最低的“条目”。是clause的一种，但是clause不能用作编号。
jail|n. [U, C] 监狱
jail|vt. [常用被动式] ~ sb (for sth) 将某人监禁
